player,md,successful,unsuccessful,total,success_pct,min_played,sub,position,position_plus
Lewis Gillespie,22,3,0,3,100,45,1,RB,NA
Lewis Gillespie,23,2,0,2,100,45,0,RB,NA
Lewis Gillespie,24,1,0,1,100,55,0,LB,NA
Lewis Gillespie,25,0,0,0,NA,0,0,NA,NA
Lewis Gillespie,27,0,0,0,NA,0,0,NA,NA
Lewis Gillespie,28,2,2,4,50,50,0,LB,NA
Lewis Gillespie,29,2,1,3,66.7,70,0,RB,NA
Lewis Gillespie,31,3,0,3,100,45,1,RB,NA
Arjun Dhayade,22,2,1,3,66.7,90,0,ACM,CDM
Arjun Dhayade,23,2,0,2,100,45,1,ACM,CDM
Arjun Dhayade,24,2,2,4,50,90,0,ACM,NA
Arjun Dhayade,25,2,1,3,66.7,55,0,ACM,NA
Arjun Dhayade,27,0,0,0,NA,90,0,ACM,NA
Arjun Dhayade,28,0,0,0,NA,0,0,ACM,NA
Arjun Dhayade,29,1,3,4,25,90,0,ACM,CDM
Arjun Dhayade,31,1,1,2,50,45,0,ACM,NA
Austin Mooney,22,0,0,0,NA,0,0,NA,NA
Austin Mooney,23,0,0,0,NA,0,0,NA,NA
Austin Mooney,24,2,2,4,50,90,0,ST,RWF
Austin Mooney,25,3,0,3,100,90,0,ACM,NA
Austin Mooney,27,0,0,0,NA,0,0,NA,NA
Austin Mooney,28,0,0,0,NA,0,0,NA,NA
Austin Mooney,29,2,1,3,66.7,70,0,ACM,ST
Austin Mooney,31,2,1,3,66.7,90,0,ACM,ST
Sam Chambers,22,2,1,3,66.7,45,0,ST,NA
Sam Chambers,23,4,1,5,80,60,0,NA,NA
Sam Chambers,24,2,2,4,50,45,0,CM,ST
Sam Chambers,25,2,2,4,50,55,0,ACM,NA
Sam Chambers,27,0,0,0,NA,0,0,NA,NA
Sam Chambers,28,0,0,0,NA,0,0,NA,NA
Sam Chambers,29,1,2,3,33.3,45,1,ACM,NA
Sam Chambers,31,0,0,0,NA,0,0,NA,NA
Lucien Fogg,22,2,1,3,66.7,45,0,LWF,NA
Lucien Fogg,23,0,0,0,NA,10,1,LWF,NA
Lucien Fogg,24,0,0,0,NA,0,0,NA,NA
Lucien Fogg,25,0,0,0,NA,0,0,NA,NA
